base_material,target_phase,density_g_cm3,specific_heat_j_kg_k,required_temp_c
al2cu,cubic,4.15,588.2,266.5
al2cuir,liquid,9.68,255.6,883.9
al2cuir,orthorhombic,9.68,255.6,472.5
al2feco,liquid,6.19,397.7,760.6
al2feco,cubic,6.19,397.7,388.0
al2feir,liquid,10.0,247.5,856.4
al2feir,cubic,10.0,247.5,458.2
al2feni,liquid,6.07,405.4,785.6
al2feni,tetragonal,6.07,405.4,408.4
al2feo4,liquid,4.3,567.9,1856.6
al2feo4,cubic,4.3,567.9,1066.3
al2ga2bi2o9,liquid,6.5,378.9,1660.8
al2ga2bi2o9,orthorhombic,6.5,378.9,937.6
al2ge(o2f)2,liquid,4.02,607.1,1977.4
al2ge(o2f)2,orthorhombic,4.02,607.1,970.3
al2h12(seo5)3,liquid,2.55,943.3,1274.9
al2h12(seo5)3,hexagonal,2.55,943.3,725.2
al2h16s3o20,liquid,2.04,1169.0,1329.9
al2h16s3o20,monoclinic,2.04,1169.0,691.6
al2h32s3o28,liquid,1.7,1390.0,1255.5
al2h32s3o28,triclinic,1.7,1390.0,573.6
al2hg3cl8,liquid,4.05,602.3,1118.8
al2hg3cl8,monoclinic,4.05,602.3,602.1
al2hgs4,liquid,3.99,611.1,1047.8
al2hgs4,tetragonal,3.99,611.1,435.2
al2hgse4,liquid,5.17,474.4,921.4
al2hgse4,tetragonal,5.17,474.4,369.7
al2hgte4,liquid,5.5,446.2,764.7
al2hgte4,tetragonal,5.5,446.2,395.6
al2iros,liquid,13.5,183.8,922.9
al2iros,cubic,13.5,183.8,453.2
al2irrh,liquid,10.87,227.9,1058.9
al2irrh,cubic,10.87,227.9,502.2
al2irru,liquid,10.85,228.3,992.9
al2irru,cubic,10.85,228.3,464.1
al2nio4,liquid,4.53,539.5,1811.2
al2nio4,orthorhombic,4.53,539.5,957.3
al2nios,liquid,9.92,249.6,823.6
al2nios,cubic,9.92,249.6,460.3
al2niru,liquid,7.11,346.7,884.6
al2niru,cubic,7.11,346.7,431.2
al2o3,liquid,3.87,629.2,2091.9
al2o3,trigonal,3.87,629.2,1128.6
al2os,liquid,9.81,252.2,851.6
al2os,tetragonal,9.81,252.2,323.7
al2osrh,liquid,10.82,229.0,936.9
al2osrh,cubic,10.82,229.0,462.1
al2p3(ho3)3,liquid,2.46,975.5,1652.0
al2p3(ho3)3,hexagonal,2.46,975.5,784.7
al2pb3f12,liquid,6.66,369.8,1984.3
al2pb3f12,monoclinic,6.66,369.8,1023.0
al2pbo4,liquid,5.44,451.1,1852.2
al2pbo4,orthorhombic,5.44,451.1,829.8
al2pbs4,liquid,3.95,616.9,1105.1
al2pbs4,orthorhombic,3.95,616.9,531.7
al2pbse4,liquid,5.15,476.5,974.6
al2pbse4,orthorhombic,5.15,476.5,510.6
al2pdru,liquid,8.02,307.8,936.1
al2pdru,cubic,8.02,307.8,395.5
al2pt,liquid,8.06,306.3,995.4
al2pt,cubic,8.06,306.3,441.1
al2ru,liquid,6.25,394.0,901.5
al2ru,orthorhombic,6.25,394.0,507.4
al2rupt,liquid,10.72,231.0,995.5
al2rupt,cubic,10.72,231.0,498.1
al2rurh,liquid,8.13,303.9,1003.8
al2rurh,cubic,8.13,303.9,536.2
al2s3,liquid,2.29,1046.2,1106.6
al2s3,monoclinic,2.29,1046.2,554.7
al2sb5(se2br3)3,liquid,3.88,628.0,1005.9
al2sb5(se2br3)3,monoclinic,3.88,628.0,416.3
al2se3,liquid,3.82,637.0,1004.0
al2se3,monoclinic,3.82,637.0,453.0
al2si(o2f)2,liquid,3.44,706.7,2138.4
al2si(o2f)2,orthorhombic,3.44,706.7,891.0
al2si2pbo8,liquid,4.0,609.9,1947.4
al2si2pbo8,monoclinic,4.0,609.9,970.9
al2si3h8(no5)2,liquid,1.99,1195.6,1539.4
al2si3h8(no5)2,monoclinic,1.99,1195.6,892.7
al2sio5,liquid,3.68,661.9,2069.6
al2sio5,triclinic,3.68,661.9,828.7
al2sncl6o,liquid,2.29,1045.9,1486.6
al2sncl6o,monoclinic,2.29,1045.9,763.3
al2te3,liquid,4.16,587.5,801.6
al2te3,monoclinic,4.16,587.5,402.2
al2te5,liquid,4.78,512.1,730.9
al2te5,monoclinic,4.78,512.1,359.1
al2vcl8,liquid,2.14,1117.7,1301.6
al2vcl8,monoclinic,2.14,1117.7,656.9
al2vni9,liquid,8.05,306.7,719.2
al2vni9,tetragonal,8.05,306.7,395.7
al2zno4,liquid,4.63,529.0,1909.5
al2zno4,cubic,4.63,529.0,1063.8
al2zns4,liquid,3.28,739.4,1085.7
al2zns4,cubic,3.28,739.4,436.1
al2znse4,liquid,4.28,571.4,1045.3
al2znse4,tetragonal,4.28,571.4,537.2
al2znte4,liquid,4.83,507.4,867.2
al2znte4,tetragonal,4.83,507.4,440.1
al3(bru2)2,liquid,7.98,309.3,841.1
al3(bru2)2,tetragonal,7.98,309.3,418.2
al3(ni10b3)2,liquid,7.84,314.9,731.3
al3(ni10b3)2,cubic,7.84,314.9,408.5
al3(v3c2)4,liquid,5.26,466.2,827.3
al3(v3c2)4,hexagonal,5.26,466.2,386.3
al37(fe6cu)2,liquid,4.22,578.4,696.4
al37(fe6cu)2,monoclinic,4.22,578.4,342.7
al3bc,liquid,2.86,843.7,641.0
al3bc,hexagonal,2.86,843.7,271.0
al3bc3,liquid,2.67,902.2,656.7
al3bc3,hexagonal,2.67,902.2,356.0
al3cr,liquid,3.8,640.4,620.5
al3cr,tetragonal,3.8,640.4,277.6
al3ga3ni10,liquid,7.99,308.8,760.8
al3ga3ni10,monoclinic,7.99,308.8,322.8
al3ir,liquid,7.42,332.4,894.9
al3ir,hexagonal,7.42,332.4,429.1
al3mo,liquid,4.91,498.6,713.6
al3mo,monoclinic,4.91,498.6,369.1
al3ni,liquid,4.06,601.2,738.4
al3ni,orthorhombic,4.06,601.2,378.0
al3ni2,liquid,4.88,501.6,839.9
al3ni2,trigonal,4.88,501.6,386.5
al3ni5,liquid,6.88,358.2,803.5
al3ni5,orthorhombic,6.88,358.2,321.3
al3pd2,liquid,6.14,400.8,915.6
al3pd2,trigonal,6.14,400.8,378.2
al3pd5,liquid,8.9,277.8,935.9
al3pd5,orthorhombic,8.9,277.8,381.3
al3pt2,liquid,9.84,251.6,1046.2
al3pt2,trigonal,9.84,251.6,548.1
al3pt5,liquid,15.08,164.7,990.7
al3pt5,orthorhombic,15.08,164.7,532.4
al3ru2,liquid,6.95,354.8,898.9
al3ru2,tetragonal,6.95,354.8,364.2
al3si3ag4io12,liquid,4.07,599.3,1688.3
al3si3ag4io12,cubic,4.07,599.3,686.7
al3tl4fe(as2o7)4,liquid,5.12,479.2,1418.5
al3tl4fe(as2o7)4,triclinic,5.12,479.2,560.3
al3v,liquid,3.8,641.3,704.8
al3v,tetragonal,3.8,641.3,277.2
al4(b2o5)3,liquid,2.81,858.9,1937.6
al4(b2o5)3,trigonal,2.81,858.9,905.5
al45cr7,liquid,3.31,732.3,592.1
al45cr7,monoclinic,3.31,732.3,221.2
al4b2o9,liquid,2.96,815.8,1955.1
al4b2o9,monoclinic,2.96,815.8,843.2
al4bi2o9,liquid,6.24,394.6,1836.0
al4bi2o9,orthorhombic,6.24,394.6,991.5
al4c3,liquid,2.99,808.6,657.2
al4c3,trigonal,2.99,808.6,301.2
al4co4,liquid,2.75,877.4,1717.6
al4co4,orthorhombic,2.75,877.4,968.9
al4cdo7,liquid,3.78,644.9,1942.4
al4cdo7,monoclinic,3.78,644.9,881.1
al4cu9,liquid,7.06,349.4,654.9
al4cu9,cubic,7.06,349.4,325.0
al4fe2si5o18,liquid,2.64,912.3,1947.1
al4fe2si5o18,orthorhombic,2.64,912.3,917.2
al4inagse8,liquid,4.43,551.6,946.6
al4inagse8,monoclinic,4.43,551.6,447.5
al4ni3,liquid,5.21,470.5,845.8
al4ni3,cubic,5.21,470.5,330.9
al4tc,liquid,4.53,539.8,733.8
al4tc,monoclinic,4.53,539.8,338.1
al53fe17si12,liquid,3.85,633.3,685.1
al53fe17si12,triclinic,3.85,633.3,360.2
al5bo9,liquid,2.94,821.3,2065.0
al5bo9,orthorhombic,2.94,821.3,824.1
al5co2,liquid,4.46,548.1,742.6
al5co2,hexagonal,4.46,548.1,395.9
al5cus8,liquid,3.07,788.1,1075.2
al5cus8,cubic,3.07,788.1,507.4
al5mo,liquid,4.23,577.3,674.2
al5mo,hexagonal,4.23,577.3,309.7
al5rh2,liquid,5.35,458.7,913.0
al5rh2,hexagonal,5.35,458.7,502.1
al5w,liquid,5.85,420.1,635.1
al5w,hexagonal,5.85,420.1,348.2
al6b5(o5f)3,liquid,3.18,762.0,2022.5
al6b5(o5f)3,hexagonal,3.18,762.0,1099.9
al6cd4so12,liquid,3.88,628.8,1770.5
al6cd4so12,cubic,3.88,628.8,963.3
al6cd4teo12,liquid,4.13,590.6,1765.3
al6cd4teo12,cubic,4.13,590.6,881.2
al6cocu3,liquid,4.83,506.8,694.6
al6cocu3,trigonal,4.83,506.8,373.8
al6ru,liquid,4.03,605.5,708.9
al6ru,orthorhombic,4.03,605.5,342.1
al6snte10,liquid,4.55,537.6,862.6
al6snte10,trigonal,4.55,537.6,326.4
al7(tls4)3,liquid,3.62,672.3,1118.1
al7(tls4)3,monoclinic,3.62,672.3,553.9
al7cr(bi2o9)2,liquid,6.05,406.3,1795.4
al7cr(bi2o9)2,monoclinic,6.05,406.3,958.9
al7fecu2,liquid,4.31,567.4,666.8
al7fecu2,tetragonal,4.31,567.4,272.4
al8(pb3o7)3,liquid,6.57,375.0,1684.5
al8(pb3o7)3,cubic,6.57,375.0,891.7
al8mo3,liquid,5.1,480.4,721.7
al8mo3,monoclinic,5.1,480.4,378.6
al9co2,liquid,3.72,654.7,683.7
al9co2,monoclinic,3.72,654.7,374.9
al9ir2,liquid,5.89,417.5,804.7
al9ir2,monoclinic,5.89,417.5,387.9
al9rh2,liquid,4.26,573.8,785.8
al9rh2,monoclinic,4.26,573.8,420.0
alag(pse3)2,liquid,4.39,557.4,814.2
alag(pse3)2,monoclinic,4.39,557.4,437.5
alag3,liquid,8.68,284.6,582.6
alag3,trigonal,8.68,284.6,221.7
alago2,liquid,6.31,390.2,1587.2
alago2,hexagonal,6.31,390.2,921.0
alags2,liquid,3.9,625.0,956.8
alags2,tetragonal,3.9,625.0,397.9
alagse2,liquid,4.94,495.9,884.4
alagse2,tetragonal,4.94,495.9,349.8
alagsnse4,liquid,4.77,513.5,896.4
alagsnse4,tetragonal,4.77,513.5,482.7
alagte2,liquid,5.29,464.2,747.7
alagte2,tetragonal,5.29,464.2,384.4
alas,liquid,3.7,657.6,832.2
alas,cubic,3.7,657.6,357.3
alas3(secl)4,liquid,2.9,834.5,1013.7
alas3(secl)4,monoclinic,2.9,834.5,497.2
alas3s5cl4,liquid,2.35,1020.4,1001.6
alas3s5cl4,monoclinic,2.35,1020.4,508.0
alaso4,liquid,3.35,724.6,1655.2
alaso4,trigonal,3.35,724.6,691.3
alaspt5,liquid,16.32,152.2,805.8
alaspt5,tetragonal,16.32,152.2,444.2
alau,liquid,10.81,229.2,740.3
alau,monoclinic,10.81,229.2,302.9
alau2,liquid,14.15,175.4,700.0
alau2,orthorhombic,14.15,175.4,331.2
alau4,liquid,15.93,156.0,651.0
alau4,cubic,15.93,156.0,258.9
albmo,liquid,6.41,384.3,769.1
albmo,orthorhombic,6.41,384.3,386.2
albpbo4,liquid,6.31,389.8,1774.1
albpbo4,orthorhombic,6.31,389.8,958.8
albw,liquid,10.63,233.0,694.5
albw,orthorhombic,10.63,233.0,323.1
albicl6,liquid,3.01,804.4,1321.4
albicl6,monoclinic,3.01,804.4,559.7
albiscl4,liquid,3.26,744.8,1261.2
albiscl4,tetragonal,3.26,744.8,711.1
albisecl4,liquid,3.54,687.2,1261.9
albisecl4,tetragonal,3.54,687.2,528.7
albitecl4,liquid,3.61,673.3,1241.6
albitecl4,tetragonal,3.61,673.3,540.3
albr3,liquid,3.14,771.3,1233.1
albr3,monoclinic,3.14,771.3,683.2
albro,liquid,3.3,735.4,1712.4
albro,orthorhombic,3.3,735.4,915.4
alc3(ncl2)3,liquid,1.81,1306.2,914.2
alc3(ncl2)3,triclinic,1.81,1306.2,504.4
alcdcl4,liquid,2.65,909.8,1208.7
alcdcl4,triclinic,2.65,909.8,511.8
alcl3,liquid,2.41,997.4,1311.8
alcl3,monoclinic,2.41,997.4,656.1
alclo,liquid,2.89,835.9,1803.3
alclo,orthorhombic,2.89,835.9,743.2
alco,liquid,6.37,386.7,800.4
alco,cubic,6.37,386.7,302.2
alcr2c,liquid,5.45,450.3,627.5
alcr2c,hexagonal,5.45,450.3,274.1
alcr3b4,liquid,5.47,449.0,713.3
alcr3b4,orthorhombic,5.47,449.0,311.2
alcr4ags8,liquid,3.83,635.6,1005.0
alcr4ags8,cubic,3.83,635.6,572.6
alcr4cus8,liquid,3.71,656.5,1021.7
alcr4cus8,cubic,3.71,656.5,491.9
alcr4cuse8,liquid,5.36,458.0,928.8
alcr4cuse8,cubic,5.36,458.0,476.8
alcrfeo4,liquid,4.46,547.7,1694.3
alcrfeo4,orthorhombic,4.46,547.7,881.5
alcrru2,liquid,8.91,277.5,715.9
alcrru2,cubic,8.91,277.5,282.9
alcu,liquid,5.51,445.5,659.1
alcu,monoclinic,5.51,445.5,290.4
alcu(pse3)2,liquid,4.39,556.8,801.5
alcu(pse3)2,trigonal,4.39,556.8,410.4
alcu3,liquid,7.52,328.2,640.9
alcu3,orthorhombic,7.52,328.2,340.0
alcuau2,liquid,13.32,186.3,666.0
alcuau2,cubic,13.32,186.3,345.1
alcubr4,liquid,3.91,624.0,1096.1
alcubr4,tetragonal,3.91,624.0,547.3
alcucl4,liquid,2.62,919.8,1143.6
alcucl4,tetragonal,2.62,919.8,522.4
alcugese4,liquid,4.74,516.7,884.4
alcugese4,tetragonal,4.74,516.7,475.4
alcuo2,liquid,5.15,476.5,1637.9
alcuo2,hexagonal,5.15,476.5,659.6
alcupd2,liquid,9.26,267.1,833.6
alcupd2,cubic,9.26,267.1,434.1
alcupt2,liquid,14.51,171.1,891.8
alcupt2,tetragonal,14.51,171.1,403.5
alcus2,liquid,3.51,693.0,983.4
alcus2,tetragonal,3.51,693.0,451.2
alcuse2,liquid,4.78,512.1,890.4
alcuse2,tetragonal,4.78,512.1,445.5
alcusns4,liquid,4.13,591.3,959.5
alcusns4,orthorhombic,4.13,591.3,458.9
alcusnse4,liquid,4.8,510.0,897.8
alcusnse4,tetragonal,4.8,510.0,356.2
alcute2,liquid,5.25,467.3,741.3
alcute2,tetragonal,5.25,467.3,414.2
alf3,liquid,3.26,743.1,2289.6
alf3,trigonal,3.26,743.1,1168.9
alfe,liquid,5.97,411.9,697.1
alfe,cubic,5.97,411.9,298.1
alfe2si,liquid,6.49,379.6,750.1
alfe2si,cubic,6.49,379.6,300.6
alfe2w,liquid,10.87,227.9,643.7
alfe2w,cubic,10.87,227.9,346.7
alfe3,liquid,6.7,367.6,639.5
alfe3,cubic,6.7,367.6,340.4
alfe3c,liquid,6.3,390.6,621.9
alfe3c,cubic,6.3,390.6,239.1
alfe3h,liquid,6.41,383.9,642.3
alfe3h,cubic,6.41,383.9,284.9
alfeco2,liquid,7.37,334.5,711.5
alfeco2,cubic,7.37,334.5,309.1
alfepo5,liquid,3.04,796.3,1787.8
alfepo5,monoclinic,3.04,796.3,851.2
alferh2,liquid,8.99,275.0,818.2
alferh2,cubic,8.99,275.0,424.3
algaas2,liquid,4.49,544.9,791.8
algaas2,trigonal,4.49,544.9,345.9
algaco2,liquid,7.8,316.3,719.9
algaco2,tetragonal,7.8,316.3,326.0
algani6,liquid,8.46,292.0,708.9
algani6,tetragonal,8.46,292.0,278.4
algemo,liquid,7.27,339.3,672.9
algemo,trigonal,7.27,339.3,372.1
algeru2,liquid,9.42,262.6,783.0
algeru2,cubic,9.42,262.6,436.8
alh10n2of5,liquid,1.86,1278.0,1315.6
alh10n2of5,orthorhombic,1.86,1278.0,603.7
alh10so9f,liquid,1.91,1246.6,1327.1
alh10so9f,orthorhombic,1.91,1246.6,722.8
alh11so10,liquid,1.8,1314.4,1284.2
alh11so10,monoclinic,1.8,1314.4,508.3
alh12(clo2)3,liquid,1.68,1407.1,1214.2
alh12(clo2)3,trigonal,1.68,1407.1,654.9
alh12(no5)3,liquid,1.86,1276.7,1133.8
alh12(no5)3,monoclinic,1.86,1276.7,635.4
alh14seno14,liquid,2.14,1116.5,1173.2
alh14seno14,triclinic,2.14,1116.5,500.9
alh15(of)6,liquid,1.67,1410.5,1355.1
alh15(of)6,triclinic,1.67,1410.5,704.6
alh15br3n5,liquid,2.13,1121.8,887.6
alh15br3n5,orthorhombic,2.13,1121.8,500.7
alh15n5cl3,liquid,1.46,1598.4,915.2
alh15n5cl3,orthorhombic,1.46,1598.4,378.3
alh18c3(n3f2)3,liquid,1.53,1534.4,1033.3
alh18c3(n3f2)3,cubic,1.53,1534.4,420.9
alh2pbo2f3,liquid,5.24,468.0,1698.1
alh2pbo2f3,triclinic,5.24,468.0,694.9
alh3,liquid,1.52,1545.6,583.1
alh3,trigonal,1.52,1545.6,241.2
alh3ncl3,liquid,1.62,1457.2,1150.0
alh3ncl3,orthorhombic,1.62,1457.2,519.3
alh4nf4,liquid,2.53,949.3,1538.7
alh4nf4,tetragonal,2.53,949.3,626.8
alh5(seo4)2,liquid,2.96,816.6,1269.8
alh5(seo4)2,monoclinic,2.96,816.6,598.5
alh6bro4,liquid,2.19,1092.2,1294.6
alh6bro4,monoclinic,2.19,1092.2,584.1
alh6c2secl3,liquid,1.65,1430.1,890.4
alh6c2secl3,orthorhombic,1.65,1430.1,479.6
alh6io4,liquid,2.5,962.6,1267.3
alh6io4,monoclinic,2.5,962.6,633.2
alh6n2cl3,liquid,1.6,1469.5,1036.9
alh6n2cl3,orthorhombic,1.6,1469.5,469.8
alh6n2f3,liquid,1.88,1260.0,1278.1
alh6n2f3,monoclinic,1.88,1260.0,647.9
alh7c2scl4,liquid,1.34,1736.6,919.2
alh7c2scl4,monoclinic,1.34,1736.6,425.8
alho2,liquid,3.41,712.2,1743.8
alho2,orthorhombic,3.41,712.2,748.2
alhso5,liquid,2.89,834.7,1567.7
alhso5,monoclinic,2.89,834.7,762.1
alhg2sbcl4,liquid,4.77,512.9,1033.5
alhg2sbcl4,orthorhombic,4.77,512.9,480.8
ali3,liquid,3.73,652.2,979.8
ali3,monoclinic,3.73,652.2,523.3
alicl6,liquid,2.49,966.2,1146.2
alicl6,monoclinic,2.49,966.2,470.6
alinbr4,liquid,3.6,674.8,1171.2
alinbr4,monoclinic,3.6,674.8,577.5
alincl4,liquid,2.64,910.8,1221.0
alincl4,orthorhombic,2.64,910.8,563.2
alini4,liquid,4.1,595.3,950.4
alini4,monoclinic,4.1,595.3,436.5
alins3,liquid,3.32,730.2,1001.1
alins3,hexagonal,3.32,730.2,491.9
alinse3,liquid,4.63,529.0,938.8
alinse3,hexagonal,4.63,529.0,527.2
alir,liquid,13.55,183.1,1031.8
alir,cubic,13.55,183.1,450.2
almo3,liquid,8.61,286.9,666.3
almo3,cubic,8.61,286.9,284.5
aln,liquid,3.2,757.4,1305.9
aln,hexagonal,3.2,757.4,527.3
alni,liquid,6.08,404.3,858.2
alni,cubic,6.08,404.3,331.8
alni2bo5,liquid,4.76,514.5,1594.1
alni2bo5,orthorhombic,4.76,514.5,908.5
alni3,liquid,7.71,320.1,741.9
alni3,cubic,7.71,320.1,332.2
alni6ge,liquid,8.54,289.3,701.6
alni6ge,tetragonal,8.54,289.3,331.6
alniag2f7,liquid,5.06,484.8,1671.5
alniag2f7,orthorhombic,5.06,484.8,729.4
alp,liquid,2.35,1021.2,881.8
alp,cubic,2.35,1021.2,391.2
alp2h12n3o8,liquid,1.74,1357.4,1256.6
alp2h12n3o8,monoclinic,1.74,1357.4,566.2
alp2i9,liquid,3.5,694.0,810.0
alp2i9,orthorhombic,3.5,694.0,443.2
alp3(ncl3)3,liquid,1.95,1217.2,1097.9
alp3(ncl3)3,orthorhombic,1.95,1217.2,479.2
alph8(ccl2)2,liquid,1.39,1682.0,905.2
alph8(ccl2)2,monoclinic,1.39,1682.0,489.6
alph9(ccl)3,liquid,1.28,1810.4,843.5
alph9(ccl)3,monoclinic,1.28,1810.4,319.0
alpi8,liquid,3.69,659.7,839.7
alpi8,orthorhombic,3.69,659.7,396.0
alpo4,liquid,2.62,918.6,1957.2
alpo4,trigonal,2.62,918.6,1114.9
alppd4,liquid,9.32,265.4,847.9
alppd4,monoclinic,9.32,265.4,444.0
alppt5,liquid,16.37,151.8,850.6
alppt5,tetragonal,16.37,151.8,425.7
alps4,liquid,2.04,1168.8,862.4
alps4,tetragonal,2.04,1168.8,355.5
alpd,liquid,7.69,320.9,971.0
alpd,cubic,7.69,320.9,440.9
alpd2,liquid,9.24,267.7,923.2
alpd2,orthorhombic,9.24,267.7,389.2
alpd5,liquid,10.55,234.8,757.9
alpd5,orthorhombic,10.55,234.8,399.1
alpd5i2,liquid,8.01,308.3,785.9
alpd5i2,tetragonal,8.01,308.3,390.4
alpt,liquid,12.7,195.3,1059.0
alpt,cubic,12.7,195.3,517.2
alpt2,liquid,15.78,157.4,965.7
alpt2,orthorhombic,15.78,157.4,425.3
alpt3,liquid,17.22,144.3,888.9
alpt3,tetragonal,17.22,144.3,481.0
alre,liquid,12.52,198.0,722.0
alre,tetragonal,12.52,198.0,303.4
alre2,liquid,15.51,160.2,695.4
alre2,tetragonal,15.51,160.2,332.9
alrege,liquid,11.12,222.8,679.9
alrege,tetragonal,11.12,222.8,329.0
alresi,liquid,9.91,249.7,755.8
alresi,tetragonal,9.91,249.7,382.2
alrh,liquid,8.17,302.2,1079.9
alrh,cubic,8.17,302.2,473.5
alru,liquid,8.01,308.1,877.8
alru,cubic,8.01,308.1,335.6
alscl3o2,liquid,1.8,1312.8,1374.3
alscl3o2,triclinic,1.8,1312.8,662.4
alscl7,liquid,1.95,1221.4,956.1
alscl7,monoclinic,1.95,1221.4,447.6
alsb,liquid,4.18,584.7,663.8
alsb,cubic,4.18,584.7,300.5
alsb2(secl2)2,liquid,3.3,735.1,1135.6
alsb2(secl2)2,triclinic,3.3,735.1,567.6
alsb2(tecl2)2,liquid,3.62,672.2,1103.5
alsb2(tecl2)2,triclinic,3.62,672.2,631.8
alsb2te2brcl4,liquid,4.01,608.7,1106.6
alsb2te2brcl4,monoclinic,4.01,608.7,453.2
alsbo4,liquid,5.79,424.5,1694.5
alsbo4,orthorhombic,5.79,424.5,694.3
alsecl7,liquid,2.29,1043.9,983.5
alsecl7,triclinic,2.29,1043.9,403.2
alsi3w2,liquid,9.59,258.1,669.2
alsi3w2,tetragonal,9.59,258.1,265.2
alsih9c3cl2o,liquid,1.23,1882.6,913.7
alsih9c3cl2o,monoclinic,1.23,1882.6,476.0
alsimo6,liquid,8.78,281.4,683.0
alsimo6,cubic,8.78,281.4,297.6
alsiru2,liquid,8.43,293.0,890.0
alsiru2,cubic,8.43,293.0,430.4
alsite3,liquid,4.77,513.4,699.6
alsite3,trigonal,4.77,513.4,273.8
altc2,liquid,8.86,279.0,760.4
altc2,tetragonal,8.86,279.0,401.1
altecl7,liquid,2.37,1012.4,1055.8
altecl7,monoclinic,2.37,1012.4,456.9
altei7,liquid,3.96,615.7,856.2
altei7,monoclinic,3.96,615.7,403.0
altl(moo4)2,liquid,4.34,563.0,1541.4
altl(moo4)2,trigonal,4.34,563.0,861.2
altl2f5,liquid,6.12,402.2,1859.6
altl2f5,tetragonal,6.12,402.2,805.6
altlbr4,liquid,4.3,568.8,1209.2
altlbr4,monoclinic,4.3,568.8,625.7
altlcl4,liquid,3.51,693.4,1376.4
altlcl4,orthorhombic,3.51,693.4,654.4
altlf4,liquid,6.29,391.3,2014.3
altlf4,monoclinic,6.29,391.3,807.7
altli4,liquid,4.6,532.2,987.0
altli4,monoclinic,4.6,532.2,395.7
altls2,liquid,4.9,499.6,1062.2
altls2,monoclinic,4.9,499.6,432.8
altlse2,liquid,5.69,431.5,955.2
altlse2,monoclinic,5.69,431.5,451.0
altlsi3o8,liquid,3.8,641.6,1937.0
altlsi3o8,triclinic,3.8,641.6,875.6
altlsio4,liquid,4.32,565.9,1855.4
altlsio4,trigonal,4.32,565.9,1001.3
alv,liquid,4.61,530.4,678.9
alv,orthorhombic,4.61,530.4,362.3
alv2c,liquid,4.94,495.6,808.3
alv2c,hexagonal,4.94,495.6,428.3
alv2o4,liquid,4.34,563.3,1794.2
alv2o4,orthorhombic,4.34,563.3,898.9
alv2o4,liquid,4.56,536.7,1825.8
alv2o4,triclinic,4.56,536.7,728.3
alv3,liquid,5.43,451.7,626.1
alv3,cubic,5.43,451.7,324.5
alv6ga,liquid,6.14,400.9,640.2
alv6ga,cubic,6.14,400.9,331.4
alv6ge,liquid,6.23,395.0,656.1
alv6ge,cubic,6.23,395.0,341.5
alv9au2,liquid,8.59,287.8,610.1
alv9au2,orthorhombic,8.59,287.8,300.3
alvco2,liquid,6.95,354.7,751.6
alvco2,cubic,6.95,354.7,317.5
alvfe2,liquid,6.96,354.3,742.9
alvfe2,cubic,6.96,354.3,410.2
alvmoo7,liquid,3.24,749.5,1657.0
alvmoo7,orthorhombic,3.24,749.5,936.0
alvo4,liquid,3.32,730.4,1808.6
alvo4,triclinic,3.32,730.4,734.4
alvos2,liquid,14.07,176.4,821.7
alvos2,cubic,14.07,176.4,413.6
alvru2,liquid,8.75,282.5,878.8
alvru2,cubic,8.75,282.5,470.3
alwo4,liquid,7.67,321.6,1757.2
alwo4,orthorhombic,7.67,321.6,847.4
alzncrs4,liquid,3.55,685.4,1080.1
alzncrs4,orthorhombic,3.55,685.4,582.6
alznir2,liquid,14.68,169.2,862.2
alznir2,cubic,14.68,169.2,452.9
alznrh2,liquid,9.35,264.6,935.9
alznrh2,cubic,9.35,264.6,517.2
ar,liquid,1.72,1373.6,595.0
ar,cubic,1.72,1373.6,231.6
as,liquid,5.05,485.5,595.0
as,orthorhombic,5.05,485.5,267.8
as(brf2)3,liquid,3.59,677.5,1300.8
as(brf2)3,triclinic,3.59,677.5,736.5
as(if2)3,liquid,4.03,604.6,1327.1
as(if2)3,triclinic,4.03,604.6,581.2
as(if3)2,liquid,4.15,588.7,1410.7
as(if3)2,monoclinic,4.15,588.7,585.7
as(s2f3)2,liquid,2.51,957.7,1339.6
as(s2f3)2,monoclinic,2.51,957.7,583.8
as(s8i)3,liquid,2.43,986.3,772.8
as(s8i)3,trigonal,2.43,986.3,402.5
as2(so4)3,liquid,3.04,795.4,1300.9
as2(so4)3,monoclinic,3.04,795.4,616.8
as2cl3of5,liquid,2.65,907.8,1401.2
as2cl3of5,monoclinic,2.65,907.8,613.5
as2hpbf13,liquid,4.11,594.5,1639.9
as2hpbf13,orthorhombic,4.11,594.5,886.8
as2ir,liquid,10.71,231.3,807.0
as2ir,monoclinic,10.71,231.3,338.9
as2o3,liquid,4.12,592.8,1281.9
as2o3,monoclinic,4.12,592.8,528.2
as2o5,liquid,4.44,550.6,1250.9
as2o5,orthorhombic,4.44,550.6,650.9
as2os,liquid,11.03,224.7,686.8
as2os,orthorhombic,11.03,224.7,259.8
as2p2s7,liquid,2.46,978.5,656.5
as2p2s7,monoclinic,2.46,978.5,334.2
as2pb(xef6)3,liquid,4.08,598.3,1401.8
as2pb(xef6)3,monoclinic,4.08,598.3,575.4
as2pb14cl4o17,liquid,7.65,322.6,1279.0
as2pb14cl4o17,monoclinic,7.65,322.6,508.9
as2pb2o5,liquid,6.74,365.4,1287.9
as2pb2o5,monoclinic,6.74,365.4,520.2
as2pb3o8,liquid,7.47,330.3,1330.1
as2pb3o8,monoclinic,7.47,330.3,738.8
as2pb8o13,liquid,8.05,306.6,1285.6
